,geonameid,name,population,latitude,longitude,feature_code,modification_date,admin1_code,admin2_code,admin3_code,admin4_code,belongs_to_metrocity,belongs_to_metrocity_id,metrocity_impact,metrocity_population,is_metrocity,metrocity_radius
38634,3094802,Kraków,755050,50.06143,19.93658,PPLA,2020-09-18,77,1261,126101,,,,0.0,10794231,1,99.949237627267
32047,3088171,Poznań,570352,52.40692,16.92993,PPLA,2020-05-21,86,3064,306401,,,,0.0,4354495,1,95.59763622764606
49044,6695624,Warszawa,1794166,52.23547,21.04191,ADM2,2022-04-04,78,1465,,,,,0.0,8483684,1,99.74826774107476
25287,3081368,Wrocław,634893,51.1,17.03333,PPLA,2021-10-06,72,0264,026401,,,,0.0,5414376,1,97.88798313704899
36976,3093133,Łódź,768755,51.77058,19.47395,PPLA,2020-12-19,74,1061,106101,,,,0.0,3936005,1,94.11647849721422
23739,776810,Abramów,157,50.69912,22.70205,PPL,2010-10-16,75,0602,060206,,,,0.0,157,0,
23737,776808,Abramów,713,51.45647,22.31521,PPLA3,2010-10-16,75,0608,060802,,,,0.0,713,0,
47953,3104178,Adamowice,909,50.13191,18.33292,PPL,2010-10-20,83,2412,241204,,,,0.0,909,0,
23715,776786,Adamów,77,51.91669,20.2375,PPL,2010-09-07,74,1015,101507,,Warszawa,6695624,0.29031242452594863,77,0,
23718,776789,Adamów,163,51.61834,21.37321,PPL,2010-09-07,78,1407,140702,,Warszawa,6695624,0.2549349055639824,163,0,
23720,776791,Adamów,154,51.24806,23.11326,PPL,2010-09-07,75,0610,061001,,,,0.0,154,0,
23721,776792,Adamów,59,51.19597,20.1376,PPL,2010-09-07,74,1007,100708,,Łódź,3093133,0.2477714898476057,59,0,
23722,776793,Adamów,210,51.06017,20.42315,PPL,2010-09-07,84,2605,260507,,,,0.0,210,0,
23723,776794,Adamów,101,51.02623,21.44051,PPL,2010-09-07,78,1409,140905,,,,0.0,101,0,
23724,776795,Adamów,883,51.01921,21.14885,PPL,2010-09-07,84,2611,261102,,,,0.0,883,0,
23725,776796,Adamów,380,50.5955,23.1542,PPL,2010-09-07,75,0620,062001,,,,0.0,380,0,
47954,3104179,Adamów,198,52.34058,19.64381,PPL,2010-09-07,78,1404,140405,,Łódź,3093133,0.3190749418799175,198,0,
47956,3104181,Adamów,280,52.26201,18.08856,PPL,2010-09-07,86,3010,301001,,Poznań,3088171,0.27463962312374096,280,0,
47957,3104182,Adamów,190,51.87114,19.00583,PPL,2010-09-07,74,1011,101103,,Łódź,3093133,0.3638736164543475,190,0,
47958,3104184,Adamów,95,51.77214,19.69093,PPL,2010-09-07,74,1021,102102,,Łódź,3093133,0.6420188058575986,95,0,
47959,3104185,Adamów,65,51.66574,19.97211,PPL,2010-09-07,74,1016,101603,,Łódź,3093133,0.34106532538673423,65,0,
47960,3104186,Adamów,167,51.4082,19.31079,PPL,2010-09-07,74,1001,100102,,Łódź,3093133,0.28885472623746,167,0,
47961,3104187,Adamów,98,51.16691,19.7475,PPL,2010-09-07,74,1010,101005,,Łódź,3093133,0.2904002339085098,98,0,
47962,3104188,Adamów,137,51.10196,19.28676,PPL,2010-09-07,74,1012,101209,,Łódź,3093133,0.26238306115956656,137,0,
47963,3104189,Adamów,308,50.86984,19.33911,PPL,2010-09-07,83,2404,240405,,Kraków,3094802,0.24815703083733298,308,0,
49074,6696248,Adamów,51,52.1465,20.63773,PPL,2010-09-07,78,1405,140504,,Warszawa,6695624,0.5749309071141934,51,0,
49237,6956078,Adamów,42,52.31669,21.82194,PPL,2010-09-07,78,1433,143309,,Warszawa,6695624,0.36136659062817567,42,0,
23714,776785,Adamów,150,52.02414,20.59636,PPL,2017-09-12,78,1438,143804,,Warszawa,6695624,0.48350044304447704,150,0,
23717,776788,Adamów,2100,51.74335,22.26414,PPL,2022-12-26,75,0611,061103,,,,0.0,2100,0,
23708,776779,Adamówka,154,50.93599,22.80427,PPL,2010-09-27,75,0606,060611,,,,0.0,154,0,
23709,776780,Adamówka,1205,50.25857,22.69595,PPLA3,2010-09-27,80,1814,181402,,,,0.0,1205,0,
23688,776759,Albigowa,2923,50.01425,22.22414,PPL,2010-10-13,80,1810,181004,,,,0.0,2923,0,
47911,3104135,Aleksandrowice,726,50.08215,19.76475,PPL,2010-10-17,77,1206,120616,,Kraków,3094802,0.6877497729389531,726,0,
23669,776740,Aleksandrów,145,52.33754,20.62537,PPL,2010-10-19,78,1414,141402,,Warszawa,6695624,0.5615245669757315,145,0,
23671,776742,Aleksandrów,263,52.21571,21.7343,PPL,2010-10-19,78,1412,141208,,Warszawa,6695624,0.4095574012743546,263,0,
23675,776746,Aleksandrów,461,51.90176,22.46223,PPL,2010-10-19,75,0611,061105,,,,0.0,461,0,
23676,776747,Aleksandrów,52,51.78887,23.3517,PPL,2010-10-19,75,0601,060115,,,,0.0,52,0,
23677,776748,Aleksandrów,120,51.77044,21.34541,PPL,2010-10-19,78,1407,140706,,Warszawa,6695624,0.34865394120568033,120,0,
23682,776753,Aleksandrów,200,51.08304,21.58504,PPL,2010-10-19,78,1409,140905,,,,0.0,200,0,
23683,776754,Aleksandrów,250,50.93528,21.97094,PPL,2010-10-19,75,0607,060704,,,,0.0,250,0,
47918,3104142,Aleksandrów,297,52.06215,17.4099,PPL,2010-10-19,86,3025,302503,,Poznań,3088171,0.34440473877458205,297,0,
23673,776744,Aleksandrów,253,52.13623,20.32359,PPL,2017-06-26,78,1438,143805,,Warszawa,6695624,0.3870699818005763,253,0,
23684,776755,Aleksandrów,3135,50.4663,22.89225,PPLA3,2010-10-14,75,0602,060202,,,,0.0,3135,0,
47922,3104146,Aleksandrów,200,51.27126,19.99005,PPLA3,2013-07-14,74,1010,101001,,Łódź,3093133,0.31028033763567714,200,0,
47909,3104133,Aleksandrów Kujawski,12290,52.87659,18.69345,PPL,2010-09-14,73,0401,040101,,,,0.0,12290,0,
47908,3104132,Aleksandrów Łódzki,20292,51.81965,19.30384,PPLA3,2010-10-16,74,1020,102004,,Łódź,3093133,0.6817331238407134,20292,0,
47903,3104127,Alwernia,3362,50.06056,19.53953,PPLA3,2010-10-17,77,1203,120301,,Kraków,3094802,0.4272899286964243,3362,0,
47892,3104116,Andrespol,3773,51.72783,19.64175,PPLA3,2010-10-15,74,1006,100602,,Łódź,3093133,0.6902258896609038,3773,0,
23636,776707,Andruszkowice,312,50.66742,21.6989,PPL,2010-09-07,84,2609,260907,,,,0.0,312,0,
47891,3104115,Andrychów,21954,49.85497,19.33834,PPLA3,2019-10-15,77,1218,121801,,Kraków,3094802,0.45672432560240966,21954,0,
